Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
LC44,10uF,C_0805_2012Metric,378.5949,-242.8722,180,bottom
LC45,10uF,C_0805_2012Metric,397.6437,-242.8722,180,bottom
LC46,10uF,C_0805_2012Metric,416.6925,-242.8722,180,bottom
LC47,10uF,C_0805_2012Metric,440.5035,-242.8722,180,bottom
LC48,10uF,C_0805_2012Metric,473.8389,-242.8722,180,bottom
LC49,10uF,C_0805_2012Metric,493.044,-242.8722,180,bottom
LC50,10uF,C_0805_2012Metric,508.7617,-245.2533,90,bottom
LC51,10uF,C_0805_2012Metric,154.7715,-261.921,180,bottom
LC52,10uF,C_0805_2012Metric,185.7258,-261.921,180,bottom
LC53,10uF,C_0805_2012Metric,211.9179,-261.921,180,bottom
LC54,10uF,C_0805_2012Metric,230.9667,-261.921,180,bottom
LC55,10uF,C_0805_2012Metric,250.0155,-261.921,180,bottom
LC56,10uF,C_0805_2012Metric,269.0643,-261.921,180,bottom
LC57,10uF,C_0805_2012Metric,288.1131,-261.921,180,bottom
LC58,10uF,C_0805_2012Metric,307.1619,-261.921,180,bottom
LC59,10uF,C_0805_2012Metric,325.5733,-261.921,180,bottom
LC60,10uF,C_0805_2012Metric,345.2595,-261.921,180,bottom
LC61,10uF,C_0805_2012Metric,364.3083,-261.921,180,bottom
LC62,10uF,C_0805_2012Metric,383.3571,-261.921,180,bottom
LC63,10uF,C_0805_2012Metric,402.4059,-261.921,180,bottom
LC64,10uF,C_0805_2012Metric,433.3602,-261.921,180,bottom
LC65,10uF,C_0805_2012Metric,154.7715,-280.9698,180,bottom
LC66,10uF,C_0805_2012Metric,190.488,-280.9698,180,bottom
LC67,10uF,C_0805_2012Metric,221.4423,-280.9698,180,bottom
LC68,10uF,C_0805_2012Metric,240.4911,-280.9698,180,bottom
LC69,10uF,C_0805_2012Metric,259.5399,-280.9698,180,bottom
LC70,10uF,C_0805_2012Metric,278.5887,-280.9698,180,bottom
LC71,10uF,C_0805_2012Metric,297.6375,-280.9698,180,bottom
LC72,10uF,C_0805_2012Metric,316.6863,-280.9698,180,bottom
LC73,10uF,C_0805_2012Metric,335.7351,-280.9698,180,bottom
LC74,10uF,C_0805_2012Metric,354.7839,-280.9698,180,bottom
LC75,10uF,C_0805_2012Metric,373.8327,-280.9698,180,bottom
LC76,10uF,C_0805_2012Metric,392.8815,-280.9698,180,bottom
LC77,10uF,C_0805_2012Metric,428.598,-280.9698,180,bottom
LC78,10uF,C_0805_2012Metric,492.8877,-280.9698,180,bottom
LC79,10uF,C_0805_2012Metric,154.7715,-300.0186,180,bottom
LC80,10uF,C_0805_2012Metric,180.9636,-300.0186,180,bottom
LC81,10uF,C_0805_2012Metric,204.7746,-300.0186,180,bottom
LC82,10uF,C_0805_2012Metric,228.5856,-300.0186,180,bottom
LC83,10uF,C_0805_2012Metric,300.0186,-300.0186,180,bottom
LC84,10uF,C_0805_2012Metric,371.4516,-300.0186,180,bottom
LC85,10uF,C_0805_2012Metric,395.2626,-300.0186,180,bottom
